Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,BANDHANBNK,35341,FUTSTK,XX,-1,BANDHAN BANK LIMITED,BANDHANBNK JUL FUT,BANDHANBNK25JUL24F,2024-07-25,2800,0.01
NFO,nse_fo,CUMMINSIND,35354,FUTSTK,XX,-1,CUMMINS INDIA LTD,CUMMINSIND SEP FUT,CUMMINSIND26SEP24F,2024-09-26,300,0.05
NFO,nse_fo,DABUR,35355,FUTSTK,XX,-1,DABUR INDIA LTD,DABUR SEP FUT,DABUR26SEP24F,2024-09-26,1250,0.05
NFO,nse_fo,DALBHARAT,35360,FUTSTK,XX,-1,DALMIA BHARAT LIMITED,DALBHARAT SEP FUT,DALBHARAT26SEP24F,2024-09-26,275,0.05
NFO,nse_fo,DEEPAKNTR,35363,FUTSTK,XX,-1,DEEPAK NITRITE LTD,DEEPAKNTR SEP FUT,DEEPAKNTR26SEP24F,2024-09-26,300,0.05
NFO,nse_fo,DIVISLAB,35364,FUTSTK,XX,-1,DIVI S LABORATORIES LTD,DIVISLAB SEP FUT,DIVISLAB26SEP24F,2024-09-26,200,0.05
NFO,nse_fo,DIXON,35365,FUTSTK,XX,-1,DIXON TECHNO (INDIA) LTD,DIXON SEP FUT,DIXON26SEP24F,2024-09-26,100,0.05
NFO,nse_fo,DLF,35366,FUTSTK,XX,-1,DLF LIMITED,DLF SEP FUT,DLF26SEP24F,2024-09-26,825,0.05
NFO,nse_fo,DRREDDY,35370,FUTSTK,XX,-1,DR. REDDY S LABORATORIES,DRREDDY SEP FUT,DRREDDY26SEP24F,2024-09-26,125,0.05
NFO,nse_fo,EICHERMOT,35371,FUTSTK,XX,-1,EICHER MOTORS LTD,EICHERMOT SEP FUT,EICHERMOT26SEP24F,2024-09-26,175,0.05
NFO,nse_fo,ESCORTS,35385,FUTSTK,XX,-1,ESCORTS KUBOTA LIMITED,ESCORTS SEP FUT,ESCORTS26SEP24F,2024-09-26,275,0.05
NFO,nse_fo,EXIDEIND,35388,FUTSTK,XX,-1,EXIDE INDUSTRIES LTD,EXIDEIND SEP FUT,EXIDEIND26SEP24F,2024-09-26,1800,0.05
NFO,nse_fo,FEDERALBNK,35398,FUTSTK,XX,-1,FEDERAL BANK LTD,FEDERALBNK SEP FUT,FEDERALBNK26SEP24F,2024-09-26,5000,0.01
NFO,nse_fo,BANKBARODA,35399,FUTSTK,XX,-1,BANK OF BARODA,BANKBARODA JUL FUT,BANKBARODA25JUL24F,2024-07-25,2925,0.05
NFO,nse_fo,BATAINDIA,35402,FUTSTK,XX,-1,BATA INDIA LTD,BATAINDIA JUL FUT,BATAINDIA25JUL24F,2024-07-25,375,0.05
NFO,nse_fo,BEL,35403,FUTSTK,XX,-1,BHARAT ELECTRONICS LTD,BEL JUL FUT,BEL25JUL24F,2024-07-25,2850,0.05
NFO,nse_fo,BERGEPAINT,35414,FUTSTK,XX,-1,BERGER PAINTS (I) LTD,BERGEPAINT JUL FUT,BERGEPAINT25JUL24F,2024-07-25,1320,0.05
NFO,nse_fo,NIFTY,35415,FUTIDX,XX,-1,NIFTY,NIFTY AUG FUT,NIFTY29AUG24F,2024-08-29,25,0.05
NFO,nse_fo,AARTIIND,35426,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND AUG FUT,AARTIIND29AUG24F,2024-08-29,1000,0.05
NFO,nse_fo,MIDCPNIFTY,35434,OPTIDX,PE,12625,MIDCPNIFTY,MIDCPNIFTY 29th JUL 12625 PE,MIDCPNIFTY29JUL24P12625,2024-07-29,50,0.05
NFO,nse_fo,ABB,35479,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB AUG FUT,ABB29AUG24F,2024-08-29,125,0.05
NFO,nse_fo,ABBOTINDIA,35480,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA AUG FUT,ABBOTINDIA29AUG24F,2024-08-29,20,0.05
NFO,nse_fo,BHARATFORG,35487,FUTSTK,XX,-1,BHARAT FORGE LTD,BHARATFORG JUL FUT,BHARATFORG25JUL24F,2024-07-25,500,0.05
NFO,nse_fo,NIFTY,35488,OPTIDX,CE,21050,NIFTY,NIFTY 11th JUL 21050 CE,NIFTY11JUL24C21050,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35489,OPTIDX,PE,21050,NIFTY,NIFTY 11th JUL 21050 PE,NIFTY11JUL24P21050,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35490,OPTIDX,CE,21100,NIFTY,NIFTY 11th JUL 21100 CE,NIFTY11JUL24C21100,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35491,OPTIDX,PE,21100,NIFTY,NIFTY 11th JUL 21100 PE,NIFTY11JUL24P21100,2024-07-11,25,0.05
NFO,nse_fo,BHARTIARTL,35492,FUTSTK,XX,-1,BHARTI AIRTEL LIMITED,BHARTIARTL JUL FUT,BHARTIARTL25JUL24F,2024-07-25,475,0.05
NFO,nse_fo,BHEL,35493,FUTSTK,XX,-1,BHEL,BHEL JUL FUT,BHEL25JUL24F,2024-07-25,2625,0.05
NFO,nse_fo,BIOCON,35494,FUTSTK,XX,-1,BIOCON LIMITED.,BIOCON JUL FUT,BIOCON25JUL24F,2024-07-25,2500,0.05
NFO,nse_fo,BOSCHLTD,35495,FUTSTK,XX,-1,BOSCH LIMITED,BOSCHLTD JUL FUT,BOSCHLTD25JUL24F,2024-07-25,25,0.05
NFO,nse_fo,BPCL,35496,FUTSTK,XX,-1,BHARAT PETROLEUM CORP  LT,BPCL JUL FUT,BPCL25JUL24F,2024-07-25,1800,0.05
NFO,nse_fo,NIFTY,35502,OPTIDX,CE,21150,NIFTY,NIFTY 11th JUL 21150 CE,NIFTY11JUL24C21150,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35503,OPTIDX,PE,21150,NIFTY,NIFTY 11th JUL 21150 PE,NIFTY11JUL24P21150,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35505,OPTIDX,CE,21200,NIFTY,NIFTY 11th JUL 21200 CE,NIFTY11JUL24C21200,2024-07-11,25,0.05
NFO,nse_fo,ABCAPITAL,35513,FUTSTK,XX,-1,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL AUG FUT,ABCAPITAL29AUG24F,2024-08-29,5400,0.01
NFO,nse_fo,NIFTY,35514,OPTIDX,PE,21200,NIFTY,NIFTY 11th JUL 21200 PE,NIFTY11JUL24P21200,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35515,OPTIDX,CE,21250,NIFTY,NIFTY 11th JUL 21250 CE,NIFTY11JUL24C21250,2024-07-11,25,0.05
NFO,nse_fo,ABFRL,35516,FUTSTK,XX,-1,ADITYA BIRLA FASHION & RT,ABFRL AUG FUT,ABFRL29AUG24F,2024-08-29,2600,0.05
NFO,nse_fo,ACC,35517,FUTSTK,XX,-1,ACC LIMITED,ACC AUG FUT,ACC29AUG24F,2024-08-29,300,0.05
NFO,nse_fo,NIFTY,35518,OPTIDX,PE,21250,NIFTY,NIFTY 11th JUL 21250 PE,NIFTY11JUL24P21250,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35519,OPTIDX,CE,21300,NIFTY,NIFTY 11th JUL 21300 CE,NIFTY11JUL24C21300,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35520,OPTIDX,PE,21300,NIFTY,NIFTY 11th JUL 21300 PE,NIFTY11JUL24P21300,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35521,OPTIDX,CE,21350,NIFTY,NIFTY 11th JUL 21350 CE,NIFTY11JUL24C21350,2024-07-11,25,0.05
NFO,nse_fo,ADANIENT,35522,FUTSTK,XX,-1,ADANI ENTERPRISES LIMITED,ADANIENT AUG FUT,ADANIENT29AUG24F,2024-08-29,300,0.05
NFO,nse_fo,GAIL,35523,FUTSTK,XX,-1,GAIL (INDIA) LTD,GAIL SEP FUT,GAIL26SEP24F,2024-09-26,4575,0.01
